id,col1,col2,col3,col4,col5,labels
3686,0,0,0,1,0,0
21030,0,0,0,0,0,0
6765,0,0,0,0,0,0
47450,0,2,1,0,2,1
36082,0,1,0,1,0,1
10852,0,1,0,0,0,0
2606,0,3,0,1,2,0
24280,0,0,1,0,0,0
32959,0,0,0,1,2,1
6996,0,0,0,1,0,0
15494,0,0,0,0,0,0
17047,0,0,0,1,0,0
22498,0,0,0,1,0,0
42026,0,0,0,1,0,1
30829,1,0,0,1,2,1
1539,0,0,1,1,0,0
17281,0,0,0,0,0,0
50914,1,3,1,1,2,1
46275,1,1,0,1,2,1
10444,0,0,0,1,2,0
30668,0,0,0,1,0,1
23118,0,0,0,0,0,0
24395,0,1,1,1,0,0
21669,0,0,0,1,0,0
51826,0,0,0,1,0,1
51647,0,0,0,1,2,1
12362,0,0,0,1,0,0
8073,0,0,0,0,0,0
15375,0,0,0,0,0,0
27245,0,2,1,1,0,0
18596,0,0,0,1,2,0
16588,0,0,0,1,0,0
12171,0,0,0,1,0,0
11449,0,0,0,0,0,0
4832,0,0,0,1,0,0
1444,0,0,0,0,0,0
47270,0,0,0,1,0,1
703,0,3,1,0,0,0
14225,1,1,1,1,0,0
46843,0,2,0,1,0,1
24787,0,0,0,0,0,0
52746,0,0,0,1,0,1
44143,0,3,1,1,2,1
22759,0,0,0,1,0,0
20178,0,0,1,1,0,0
53069,0,0,0,1,0,1
6054,0,0,0,1,0,0
520,0,3,1,1,0,0
51195,0,0,1,1,0,1
7154,0,0,0,1,0,0
50439,0,0,0,1,2,1
35146,0,0,0,1,2,1
30832,0,0,0,0,0,1
35825,0,2,0,1,0,1
53565,1,1,0,1,2,1
5905,0,0,0,1,0,0
50701,0,0,0,1,0,1
31355,0,0,1,1,0,1
12175,0,0,0,1,0,0
28927,0,2,1,1,2,1
48634,1,0,0,1,0,1
20355,0,2,0,1,0,0
577,0,0,0,1,0,0
29214,0,0,0,1,2,1
35980,1,0,1,1,2,1
11851,0,0,0,1,0,0
2705,0,0,0,0,0,0
33240,1,2,1,1,0,1
27570,0,0,1,1,2,1
7378,0,0,0,1,0,0
39608,0,0,0,1,0,1
19287,0,0,0,1,0,0
7730,0,0,0,1,2,0
24016,0,0,0,1,1,0
31528,0,0,1,1,2,1
20215,0,0,1,1,0,0
36574,0,0,0,1,2,1
33154,0,0,1,1,0,1
29383,0,2,1,1,2,1
34352,0,0,0,1,0,1
24606,0,0,0,0,0,0
13594,0,0,0,0,0,0
28538,0,0,0,1,0,1
50633,0,0,1,1,0,1
21643,0,0,0,0,0,0
4620,0,0,0,0,0,0
52430,0,2,0,1,0,1
27874,1,1,1,1,0,1
